tool,issues_count,file,line,code,message
gitleaks,0,,,,
mypy,0,,,,
vue-tsc,0,,,,
shellcheck,0,,,,
bandit,0,,,,
shfmt,0,,,,
ruff,0,,,,
oxlint,0,,,,
yamllint,0,,,,
rustfmt,0,,,,
tsc,215,src/App.tsx,3,TS6142,"Module './components/CommandBar' was resolved to '/Users/eiteldagnin/Code/ui-framework/report-ui/src/components/CommandBar.tsx', but '--jsx' is not set."
tsc,215,src/App.tsx,4,TS6142,"Module './components/JourneyDetailPanel' was resolved to '/Users/eiteldagnin/Code/ui-framework/report-ui/src/components/JourneyDetailPanel.tsx', but '--jsx' is not set."
tsc,215,src/App.tsx,5,TS6142,"Module './components/JourneyList' was resolved to '/Users/eiteldagnin/Code/ui-framework/report-ui/src/components/JourneyList.tsx', but '--jsx' is not set."
tsc,215,src/App.tsx,6,TS6142,"Module './components/OutcomePanel' was resolved to '/Users/eiteldagnin/Code/ui-framework/report-ui/src/components/OutcomePanel.tsx', but '--jsx' is not set."
tsc,215,src/App.tsx,7,TS6142,"Module './components/PageReference' was resolved to '/Users/eiteldagnin/Code/ui-framework/report-ui/src/components/PageReference.tsx', but '--jsx' is not set."
tsc,215,src/App.tsx,8,TS6142,"Module './components/StateGraph' was resolved to '/Users/eiteldagnin/Code/ui-framework/report-ui/src/components/StateGraph.tsx', but '--jsx' is not set."
tsc,215,src/App.tsx,9,TS6142,"Module './components/StatsSummary' was resolved to '/Users/eiteldagnin/Code/ui-framework/report-ui/src/components/StatsSummary.tsx', but '--jsx' is not set."
tsc,215,src/App.tsx,89,TS2802,Type 'Set<string>' can only be iterated through when using the '--downlevelIteration' flag or with a '--target' of 'es2015' or higher.
tsc,215,src/App.tsx,242,TS17004,Cannot use JSX unless the '--jsx' flag is provided.
tsc,215,src/App.tsx,244,TS17004,Cannot use JSX unless the '--jsx' flag is provided.
tsc,215,src/App.tsx,246,TS17004,Cannot use JSX unless the '--jsx' flag is provided.
tsc,215,src/App.tsx,259,TS17004,Cannot use JSX unless the '--jsx' flag is provided.
tsc,215,src/App.tsx,261,TS17004,Cannot use JSX unless the '--jsx' flag is provided.
tsc,215,src/App.tsx,262,TS17004,Cannot use JSX unless the '--jsx' flag is provided.
tsc,215,src/App.tsx,272,TS17004,Cannot use JSX unless the '--jsx' flag is provided.
tsc,215,src/App.tsx,274,TS17004,Cannot use JSX unless the '--jsx' flag is provided.
tsc,215,src/App.tsx,288,TS17004,Cannot use JSX unless the '--jsx' flag is provided.
tsc,215,src/App.tsx,290,TS17004,Cannot use JSX unless the '--jsx' flag is provided.
tsc,215,src/App.tsx,297,TS17004,Cannot use JSX unless the '--jsx' flag is provided.
tsc,215,src/App.tsx,299,TS17004,Cannot use JSX unless the '--jsx' flag is provided.
tsc,215,src/App.tsx,300,TS17004,Cannot use JSX unless the '--jsx' flag is provided.
tsc,215,src/App.tsx,309,TS17004,Cannot use JSX unless the '--jsx' flag is provided.
tsc,215,src/App.tsx,310,TS17004,Cannot use JSX unless the '--jsx' flag is provided.
tsc,215,src/App.tsx,315,TS17004,Cannot use JSX unless the '--jsx' flag is provided.
